,Predictor,Selection_Frequency,Average_Coefficient
1,time,0.21,0.010388617
2,time_diff,0.1,-0.02310228
3,speed,0,0
4,time_sd,0.04,0.003532445
5,speed_sd,0.83,-6.816865457
6,time_sit2stand,0.01,2.02E-05
7,time_diff_sit2stand,0.42,-0.099163288
8,speed_sit2stand,0,0
9,time_sd_sit2stand,0.25,-0.174128053
10,speed_sd_sit2stand,0.05,0.062668811
11,time_stand2sit,0.32,0.015193228
12,time_diff_stand2sit,0.46,0.121406131
13,speed_stand2sit,0,0
14,time_sd_stand2sit,0.15,-0.055452212
15,speed_sd_stand2sit,0.11,0.056193914
16,left_knee_range_mean,0.01,4.93E-05
17,left_knee_sd,0,0
18,left_knee_max,0,0
19,left_knee_min,0,0
20,left_knee_max_mean,0.01,-4.28E-05
21,left_knee_min_mean,0,0
22,left_knee_max_sd,0.08,0.008325728
23,left_knee_min_sd,0.15,-0.029108704
24,left_knee_ang_vel,0.36,0.005975144
25,left_knee_ang_acc,0.36,0.005863566
26,left_knee_max_ang_vel,0.01,3.20E-05
27,left_knee_max_ang_acc,0.02,1.95E-06
28,left_knee_min_ang_vel,0.01,8.03E-06
29,left_knee_min_ang_acc,0.25,-5.72E-05
30,right_knee_range_mean,0.04,0.000388817
31,right_knee_sd,0,0
32,right_knee_max,0,0
33,right_knee_min,0.01,3.65E-06
34,right_knee_max_mean,0.01,-8.98E-06
35,right_knee_min_mean,0,0
36,right_knee_max_sd,0.02,0.000291782
37,right_knee_min_sd,0.05,-0.006611469
38,right_knee_ang_vel,0.14,-0.00200684
39,right_knee_ang_acc,0.14,-0.001941399
40,right_knee_max_ang_vel,0,0
41,right_knee_max_ang_acc,0,0
42,right_knee_min_ang_vel,0,0
43,right_knee_min_ang_acc,0,0
44,left_hip_range_mean,0.01,0.00016027
45,left_hip_sd,0,0
46,left_hip_max,0.03,-0.000183128
47,left_hip_min,0.02,-0.000109702
48,left_hip_max_mean,0.02,-0.000442398
49,left_hip_min_mean,0,0
50,left_hip_max_sd,0.15,0.007751251
51,left_hip_min_sd,0.31,0.023468847
52,left_hip_ang_vel,0.26,0.002262825
53,left_hip_ang_acc,0.26,0.002208703
54,left_hip_max_ang_vel,0,0
55,left_hip_max_ang_acc,0.22,7.45E-05
56,left_hip_min_ang_vel,0.01,2.62E-05
57,left_hip_min_ang_acc,0.12,-1.42E-05
58,right_hip_range_mean,0,0
59,right_hip_sd,0.03,-0.000755638
60,right_hip_max,0.79,-0.023011742
61,right_hip_min,0,0
62,right_hip_max_mean,0.35,-0.004052717
63,right_hip_min_mean,0.01,-5.42E-06
64,right_hip_max_sd,0.03,-0.001424543
65,right_hip_min_sd,0.42,-0.048734663
66,right_hip_ang_vel,0.09,0.00104278
67,right_hip_ang_acc,0.09,0.00101458
68,right_hip_max_ang_vel,0,0
69,right_hip_max_ang_acc,0.05,1.89E-05
70,right_hip_min_ang_vel,0.01,9.81E-06
71,right_hip_min_ang_acc,0.05,8.98E-06
72,left_ankle_range_mean,0.02,0.000265359
73,left_ankle_sd,0.2,-0.005111875
74,left_ankle_max,0.1,-0.000623004
75,left_ankle_min,0.02,-2.78E-05
76,left_ankle_max_mean,0.02,-0.000185496
77,left_ankle_min_mean,0.07,-0.000837593
78,left_ankle_max_sd,0.08,-0.002859483
79,left_ankle_min_sd,0.01,-0.000270047
80,left_ankle_ang_vel,0.17,0.00318234
81,left_ankle_ang_acc,0.17,0.00310896
82,left_ankle_max_ang_vel,0.01,2.88E-06
83,left_ankle_max_ang_acc,0.01,-3.60E-07
84,left_ankle_min_ang_vel,0.04,-8.38E-05
85,left_ankle_min_ang_acc,0,0
86,right_ankle_range_mean,0,0
87,right_ankle_sd,0.01,-5.87E-05
88,right_ankle_max,0,0
89,right_ankle_min,0,0
90,right_ankle_max_mean,0,0
91,right_ankle_min_mean,0.08,0.000363175
92,right_ankle_max_sd,0.29,-0.014880176
93,right_ankle_min_sd,0.01,0.000255868
94,right_ankle_ang_vel,0.75,-0.041395756
95,right_ankle_ang_acc,0.75,-0.040898733
96,right_ankle_max_ang_vel,0,0
97,right_ankle_max_ang_acc,0,0
98,right_ankle_min_ang_vel,0,0
99,right_ankle_min_ang_acc,0,0
100,trunk_lean_range_mean,0.02,-0.000262673
101,trunk_lean_sd,0.01,-0.000196607
102,trunk_lean_max,0,0
103,trunk_lean_min,0.07,0.000855072
104,trunk_lean_max_mean,0,0
105,trunk_lean_min_mean,0.1,0.003465693
106,trunk_lean_max_sd,0.19,0.010414513
107,trunk_lean_min_sd,0.12,-0.012760898
108,trunk_lean_ang_vel,0.2,0.003347898
109,trunk_lean_ang_acc,0.2,0.003294384
110,trunk_lean_max_ang_vel,0.42,-0.004264964
111,trunk_lean_max_ang_acc,0.02,2.73E-05
112,trunk_lean_min_ang_vel,0,0
113,trunk_lean_min_ang_acc,0.57,0.000653659
114,left_shank_angle_range_mean,0,0
115,left_shank_angle_sd,0.13,-0.007455632
116,left_shank_angle_max,0.01,0.000112956
117,left_shank_angle_min,0.08,-0.000865178
118,left_shank_angle_max_mean,0,0
119,left_shank_angle_min_mean,0.02,-2.65E-05
120,left_shank_angle_max_sd,0.05,0.001603637
121,left_shank_angle_min_sd,0.4,0.079468976
122,left_shank_angle_ang_vel,0.63,-0.050031717
123,left_shank_angle_ang_acc,0.63,-0.049017595
124,left_shank_angle_max_ang_vel,0.05,0.000336705
125,left_shank_angle_max_ang_acc,0,0
126,left_shank_angle_min_ang_vel,0.04,0.000155402
127,left_shank_angle_min_ang_acc,0.05,-1.37E-05
128,right_shank_angle_range_mean,0,0
129,right_shank_angle_sd,0.01,-0.000307838
130,right_shank_angle_max,0,0
131,right_shank_angle_min,0.01,-7.55E-05
132,right_shank_angle_max_mean,0,0
133,right_shank_angle_min_mean,0.01,9.05E-06
134,right_shank_angle_max_sd,0,0
135,right_shank_angle_min_sd,0.18,0.01980172
136,right_shank_angle_ang_vel,0.04,0.003247783
137,right_shank_angle_ang_acc,0.04,0.003205759
138,right_shank_angle_max_ang_vel,0,0
139,right_shank_angle_max_ang_acc,0,0
140,right_shank_angle_min_ang_vel,0.36,0.003366219
141,right_shank_angle_min_ang_acc,0.01,1.81E-06
142,alignment_range_mean,0.01,0.000148086
143,alignment_sd,0,0
144,alignment_max,0,0
145,alignment_min,0,0
146,alignment_max_mean,0.02,-0.000111412
147,alignment_min_mean,0.01,-5.03E-05
148,alignment_max_sd,0.06,-0.001294586
149,alignment_min_sd,0.02,-0.001367108
150,alignment_ang_vel,0.38,0.010932346
151,alignment_ang_acc,0.38,0.010743121
152,alignment_max_ang_vel,0.08,-0.001543117
153,alignment_max_ang_acc,0,0
154,alignment_min_ang_vel,0.05,0.000292876
155,alignment_min_ang_acc,0,0
156,trunk_range_mean,0,0
157,trunk_sd,0,0
158,trunk_max,0.03,-0.001193005
159,trunk_min,0,0
160,trunk_max_mean,0.08,-0.002327789
161,trunk_min_mean,0,0
162,trunk_max_sd,0.09,-0.010599287
163,trunk_min_sd,0.24,0.020549787
164,trunk_ang_vel,0.08,-0.000654841
165,trunk_ang_acc,0.08,-0.00066068
166,trunk_max_ang_vel,0,0
167,trunk_max_ang_acc,0.07,-2.20E-05
168,trunk_min_ang_vel,0.19,0.000827603
169,trunk_min_ang_acc,0.16,-7.55E-05
170,left_knee_range_mean_sit2stand,0,0
171,left_knee_sd_sit2stand,0.03,-0.001249279
172,left_knee_max_sit2stand,0.01,-0.000234091
173,left_knee_min_sit2stand,0,0
174,left_knee_max_mean_sit2stand,0.05,-0.000429093
175,left_knee_min_mean_sit2stand,0,0
176,left_knee_max_sd_sit2stand,0,0
177,left_knee_min_sd_sit2stand,0.12,-0.003696626
178,left_knee_ang_vel_sit2stand,0.06,-0.000188217
179,left_knee_ang_acc_sit2stand,0.06,-0.000189382
180,left_knee_max_ang_vel_sit2stand,0.01,3.64E-06
181,left_knee_max_ang_acc_sit2stand,0.18,-4.30E-06
182,left_knee_min_ang_vel_sit2stand,0.07,-0.000183611
183,left_knee_min_ang_acc_sit2stand,0.09,1.31E-05
184,right_knee_range_mean_sit2stand,0.03,0.000235572
185,right_knee_sd_sit2stand,0.01,-0.000170571
186,right_knee_max_sit2stand,0.04,-0.000302025
187,right_knee_min_sit2stand,0.01,-1.28E-05
188,right_knee_max_mean_sit2stand,0.01,-7.21E-05
189,right_knee_min_mean_sit2stand,0.01,-3.11E-05
190,right_knee_max_sd_sit2stand,0.23,-0.005697393
191,right_knee_min_sd_sit2stand,0.02,-0.000614149
192,right_knee_ang_vel_sit2stand,0.25,-0.001368098
193,right_knee_ang_acc_sit2stand,0.25,-0.001345543
194,right_knee_max_ang_vel_sit2stand,0,0
195,right_knee_max_ang_acc_sit2stand,0.06,-7.08E-07
196,right_knee_min_ang_vel_sit2stand,0.07,0.000136305
197,right_knee_min_ang_acc_sit2stand,0,0
198,left_hip_range_mean_sit2stand,0.09,0.000778328
199,left_hip_sd_sit2stand,0.01,0.000250946
200,left_hip_max_sit2stand,0.01,1.71E-05
201,left_hip_min_sit2stand,0.01,-3.27E-05
202,left_hip_max_mean_sit2stand,0,0
203,left_hip_min_mean_sit2stand,0,0
204,left_hip_max_sd_sit2stand,0.09,0.005444594
205,left_hip_min_sd_sit2stand,0.01,0.000451225
206,left_hip_ang_vel_sit2stand,0,0
207,left_hip_ang_acc_sit2stand,0,0
208,left_hip_max_ang_vel_sit2stand,0.04,0.000123592
209,left_hip_max_ang_acc_sit2stand,0.08,-1.42E-06
210,left_hip_min_ang_vel_sit2stand,0.2,0.000562313
211,left_hip_min_ang_acc_sit2stand,0.04,-1.48E-05
212,right_hip_range_mean_sit2stand,0.07,0.000699834
213,right_hip_sd_sit2stand,0.02,-0.000173126
214,right_hip_max_sit2stand,0.24,-0.002940394
215,right_hip_min_sit2stand,0,0
216,right_hip_max_mean_sit2stand,0.01,-6.39E-05
217,right_hip_min_mean_sit2stand,0.02,-0.000260172
218,right_hip_max_sd_sit2stand,0.21,-0.013307051
219,right_hip_min_sd_sit2stand,0.4,-0.021093866
220,right_hip_ang_vel_sit2stand,0.07,-0.000174895
221,right_hip_ang_acc_sit2stand,0.07,-0.000165865
222,right_hip_max_ang_vel_sit2stand,0.09,0.000253005
223,right_hip_max_ang_acc_sit2stand,0.43,8.28E-06
224,right_hip_min_ang_vel_sit2stand,0.07,0.000408381
225,right_hip_min_ang_acc_sit2stand,0.14,2.19E-06
226,left_ankle_range_mean_sit2stand,0.01,-3.47E-05
227,left_ankle_sd_sit2stand,0.11,-0.002626337
228,left_ankle_max_sit2stand,0.01,-6.35E-05
229,left_ankle_min_sit2stand,0.03,2.71E-05
230,left_ankle_max_mean_sit2stand,0.02,-0.000175758
231,left_ankle_min_mean_sit2stand,0,0
232,left_ankle_max_sd_sit2stand,0.11,0.001840717
233,left_ankle_min_sd_sit2stand,0.04,-0.000257133
234,left_ankle_ang_vel_sit2stand,0.42,0.003943221
235,left_ankle_ang_acc_sit2stand,0.42,0.003867179
236,left_ankle_max_ang_vel_sit2stand,0.01,-1.42E-05
237,left_ankle_max_ang_acc_sit2stand,0.04,5.28E-07
238,left_ankle_min_ang_vel_sit2stand,0.03,-3.19E-05
239,left_ankle_min_ang_acc_sit2stand,0.55,7.83E-06
240,right_ankle_range_mean_sit2stand,0.09,-0.000700577
241,right_ankle_sd_sit2stand,0.05,-0.000771545
242,right_ankle_max_sit2stand,0.04,0.000322295
243,right_ankle_min_sit2stand,0.1,0.000191585
244,right_ankle_max_mean_sit2stand,0.02,0.000112899
245,right_ankle_min_mean_sit2stand,0.23,0.001790304
246,right_ankle_max_sd_sit2stand,0.22,-0.004435011
247,right_ankle_min_sd_sit2stand,0,0
248,right_ankle_ang_vel_sit2stand,0.09,-0.001216109
249,right_ankle_ang_acc_sit2stand,0.09,-0.001188245
250,right_ankle_max_ang_vel_sit2stand,0,0
251,right_ankle_max_ang_acc_sit2stand,0,0
252,right_ankle_min_ang_vel_sit2stand,0,0
253,right_ankle_min_ang_acc_sit2stand,0.03,3.55E-07
254,trunk_lean_range_mean_sit2stand,0.16,0.004745148
255,trunk_lean_sd_sit2stand,0,0
256,trunk_lean_max_sit2stand,0,0
257,trunk_lean_min_sit2stand,0.34,0.010308284
258,trunk_lean_max_mean_sit2stand,0,0
259,trunk_lean_min_mean_sit2stand,0.01,0.00043947
260,trunk_lean_max_sd_sit2stand,0.08,0.006622516
261,trunk_lean_min_sd_sit2stand,0.34,-0.048113592
262,trunk_lean_ang_vel_sit2stand,0.06,0.000159412
263,trunk_lean_ang_acc_sit2stand,0.06,0.000159129
264,trunk_lean_max_ang_vel_sit2stand,0.25,-0.00147667
265,trunk_lean_max_ang_acc_sit2stand,0.16,0.000150349
266,trunk_lean_min_ang_vel_sit2stand,0,0
267,trunk_lean_min_ang_acc_sit2stand,0.51,0.000548538
268,left_shank_angle_range_mean_sit2stand,0,0
269,left_shank_angle_sd_sit2stand,0.06,-0.00201857
270,left_shank_angle_max_sit2stand,0.01,0.000460118
271,left_shank_angle_min_sit2stand,0.05,-0.000460843
272,left_shank_angle_max_mean_sit2stand,0.05,-0.001332726
273,left_shank_angle_min_mean_sit2stand,0.04,-0.000308089
274,left_shank_angle_max_sd_sit2stand,0.07,0.013893016
275,left_shank_angle_min_sd_sit2stand,0.14,-0.000475451
276,left_shank_angle_ang_vel_sit2stand,0.22,-0.003555592
277,left_shank_angle_ang_acc_sit2stand,0.22,-0.003497822
278,left_shank_angle_max_ang_vel_sit2stand,0.09,0.000658414
279,left_shank_angle_max_ang_acc_sit2stand,0.02,5.48E-06
280,left_shank_angle_min_ang_vel_sit2stand,0.12,0.000983602
281,left_shank_angle_min_ang_acc_sit2stand,0.04,2.72E-06
282,right_shank_angle_range_mean_sit2stand,0.03,-0.000138106
283,right_shank_angle_sd_sit2stand,0.02,0.00104815
284,right_shank_angle_max_sit2stand,0,0
285,right_shank_angle_min_sit2stand,0.05,0.001123064
286,right_shank_angle_max_mean_sit2stand,0.01,7.89E-05
287,right_shank_angle_min_mean_sit2stand,0.05,0.000694478
288,right_shank_angle_max_sd_sit2stand,0,0
289,right_shank_angle_min_sd_sit2stand,0.07,-0.010155796
290,right_shank_angle_ang_vel_sit2stand,0.05,0.000663042
291,right_shank_angle_ang_acc_sit2stand,0.05,0.000596536
292,right_shank_angle_max_ang_vel_sit2stand,0.01,-0.000111345
293,right_shank_angle_max_ang_acc_sit2stand,0,0
294,right_shank_angle_min_ang_vel_sit2stand,0.05,0.000239956
295,right_shank_angle_min_ang_acc_sit2stand,0,0
296,alignment_range_mean_sit2stand,0.01,-0.000154625
297,alignment_sd_sit2stand,0.02,0.00055537
298,alignment_max_sit2stand,0.02,-0.000154902
299,alignment_min_sit2stand,0,0
300,alignment_max_mean_sit2stand,0.01,-3.48E-05
301,alignment_min_mean_sit2stand,0.03,-0.000818176
302,alignment_max_sd_sit2stand,0,0
303,alignment_min_sd_sit2stand,0.01,-0.000857242
304,alignment_ang_vel_sit2stand,0.37,0.003231961
305,alignment_ang_acc_sit2stand,0.37,0.003189312
306,alignment_max_ang_vel_sit2stand,0,0
307,alignment_max_ang_acc_sit2stand,0,0
308,alignment_min_ang_vel_sit2stand,0.03,0.000256997
309,alignment_min_ang_acc_sit2stand,0,0
310,left_knee_range_mean_stand2sit,0.47,-0.006353846
311,left_knee_sd_stand2sit,0.23,-0.00515997
312,left_knee_max_stand2sit,0.4,-0.005733661
313,left_knee_min_stand2sit,0,0
314,left_knee_max_mean_stand2sit,0.08,-0.000427326
315,left_knee_min_mean_stand2sit,0,0
316,left_knee_max_sd_stand2sit,0.09,-0.004181456
317,left_knee_min_sd_stand2sit,0.09,-0.003935329
318,left_knee_ang_vel_stand2sit,0.05,0.000114776
319,left_knee_ang_acc_stand2sit,0.05,0.0001132
320,left_knee_max_ang_vel_stand2sit,0.12,0.000405079
321,left_knee_max_ang_acc_stand2sit,0.02,8.86E-06
322,left_knee_min_ang_vel_stand2sit,0,0
323,left_knee_min_ang_acc_stand2sit,0.03,-4.41E-06
324,right_knee_range_mean_stand2sit,0,0
325,right_knee_sd_stand2sit,0,0
326,right_knee_max_stand2sit,0,0
327,right_knee_min_stand2sit,0.01,-1.84E-05
328,right_knee_max_mean_stand2sit,0.02,0.000400048
329,right_knee_min_mean_stand2sit,0,0
330,right_knee_max_sd_stand2sit,0.04,0.001845002
331,right_knee_min_sd_stand2sit,0.04,0.002409527
332,right_knee_ang_vel_stand2sit,0.02,2.83E-05
333,right_knee_ang_acc_stand2sit,0.02,2.82E-05
334,right_knee_max_ang_vel_stand2sit,0.15,-0.001107416
335,right_knee_max_ang_acc_stand2sit,0,0
336,right_knee_min_ang_vel_stand2sit,0,0
337,right_knee_min_ang_acc_stand2sit,0,0
338,left_hip_range_mean_stand2sit,0.01,-1.55E-05
339,left_hip_sd_stand2sit,0.13,-0.002092289
340,left_hip_max_stand2sit,0.1,-0.000558941
341,left_hip_min_stand2sit,0,0
342,left_hip_max_mean_stand2sit,0.14,-0.001311198
343,left_hip_min_mean_stand2sit,0,0
344,left_hip_max_sd_stand2sit,0.18,0.012760473
345,left_hip_min_sd_stand2sit,0.29,-0.022917632
346,left_hip_ang_vel_stand2sit,0,0
347,left_hip_ang_acc_stand2sit,0,0
348,left_hip_max_ang_vel_stand2sit,0.03,0.000256421
349,left_hip_max_ang_acc_stand2sit,0.23,3.17E-05
350,left_hip_min_ang_vel_stand2sit,0.05,1.08E-05
351,left_hip_min_ang_acc_stand2sit,0.06,-2.00E-05
352,right_hip_range_mean_stand2sit,0,0
353,right_hip_sd_stand2sit,0.16,-0.003142477
354,right_hip_max_stand2sit,0.46,-0.00913444
355,right_hip_min_stand2sit,0.01,-9.88E-05
356,right_hip_max_mean_stand2sit,0.45,-0.008865325
357,right_hip_min_mean_stand2sit,0.02,-9.11E-05
358,right_hip_max_sd_stand2sit,0.16,0.019115163
359,right_hip_min_sd_stand2sit,0.1,-0.006738277
360,right_hip_ang_vel_stand2sit,0.01,4.14E-05
361,right_hip_ang_acc_stand2sit,0.01,4.07E-05
362,right_hip_max_ang_vel_stand2sit,0.05,-5.12E-05
363,right_hip_max_ang_acc_stand2sit,0.03,7.83E-06
364,right_hip_min_ang_vel_stand2sit,0.03,-4.94E-06
365,right_hip_min_ang_acc_stand2sit,0.01,1.57E-06
366,left_ankle_range_mean_stand2sit,0.06,-0.001025969
367,left_ankle_sd_stand2sit,0.18,-0.004442401
368,left_ankle_max_stand2sit,0.2,-0.001388176
369,left_ankle_min_stand2sit,0.03,-0.000179099
370,left_ankle_max_mean_stand2sit,0.26,-0.002265647
371,left_ankle_min_mean_stand2sit,0.04,-0.000105049
372,left_ankle_max_sd_stand2sit,0.03,0.001136515
373,left_ankle_min_sd_stand2sit,0,0
374,left_ankle_ang_vel_stand2sit,0.07,-0.000279474
375,left_ankle_ang_acc_stand2sit,0.07,-0.000270249
376,left_ankle_max_ang_vel_stand2sit,0,0
377,left_ankle_max_ang_acc_stand2sit,0,0
378,left_ankle_min_ang_vel_stand2sit,0.04,0.000118325
379,left_ankle_min_ang_acc_stand2sit,0.01,2.49E-08
380,right_ankle_range_mean_stand2sit,0,0
381,right_ankle_sd_stand2sit,0.03,-8.79E-05
382,right_ankle_max_stand2sit,0,0
383,right_ankle_min_stand2sit,0,0
384,right_ankle_max_mean_stand2sit,0.01,5.06E-05
385,right_ankle_min_mean_stand2sit,0.22,0.001530866
386,right_ankle_max_sd_stand2sit,0.03,-0.00022243
387,right_ankle_min_sd_stand2sit,0.01,0.000340093
388,right_ankle_ang_vel_stand2sit,0.04,5.96E-06
389,right_ankle_ang_acc_stand2sit,0.04,-4.09E-06
390,right_ankle_max_ang_vel_stand2sit,0,0
391,right_ankle_max_ang_acc_stand2sit,0,0
392,right_ankle_min_ang_vel_stand2sit,0,0
393,right_ankle_min_ang_acc_stand2sit,0,0
394,trunk_lean_range_mean_stand2sit,0.11,-0.001901608
395,trunk_lean_sd_stand2sit,0.31,-0.029431582
396,trunk_lean_max_stand2sit,0.01,-6.43E-05
397,trunk_lean_min_stand2sit,0.04,0.001221253
398,trunk_lean_max_mean_stand2sit,0.02,-0.000121994
399,trunk_lean_min_mean_stand2sit,0.23,0.007492966
400,trunk_lean_max_sd_stand2sit,0.3,0.037668373
401,trunk_lean_min_sd_stand2sit,0.12,0.012631687
402,trunk_lean_ang_vel_stand2sit,0.02,-8.27E-06
403,trunk_lean_ang_acc_stand2sit,0.02,-9.38E-06
404,trunk_lean_max_ang_vel_stand2sit,0.09,-0.000652515
405,trunk_lean_max_ang_acc_stand2sit,0.1,-5.79E-05
406,trunk_lean_min_ang_vel_stand2sit,0.22,0.001211223
407,trunk_lean_min_ang_acc_stand2sit,0.07,-1.48E-05
408,left_shank_angle_range_mean_stand2sit,0.23,-0.006378284
409,left_shank_angle_sd_stand2sit,0.24,-0.014251465
410,left_shank_angle_max_stand2sit,0.04,-0.000418245
411,left_shank_angle_min_stand2sit,0.01,-3.76E-06
412,left_shank_angle_max_mean_stand2sit,0.06,-0.000930102
413,left_shank_angle_min_mean_stand2sit,0.01,3.18E-06
414,left_shank_angle_max_sd_stand2sit,0.11,-0.006022037
415,left_shank_angle_min_sd_stand2sit,0.59,0.084319299
416,left_shank_angle_ang_vel_stand2sit,0.03,0.000280398
417,left_shank_angle_ang_acc_stand2sit,0.03,0.000274309
418,left_shank_angle_max_ang_vel_stand2sit,0.17,0.001362614
419,left_shank_angle_max_ang_acc_stand2sit,0.02,2.66E-07
420,left_shank_angle_min_ang_vel_stand2sit,0.01,-6.24E-05
421,left_shank_angle_min_ang_acc_stand2sit,0.04,-3.78E-05
422,right_shank_angle_range_mean_stand2sit,0.02,-0.000638706
423,right_shank_angle_sd_stand2sit,0.03,-0.000756498
424,right_shank_angle_max_stand2sit,0,0
425,right_shank_angle_min_stand2sit,0.02,0.000159486
426,right_shank_angle_max_mean_stand2sit,0.01,0.000173331
427,right_shank_angle_min_mean_stand2sit,0.06,0.000578035
428,right_shank_angle_max_sd_stand2sit,0.03,0.003924903
429,right_shank_angle_min_sd_stand2sit,0.32,0.045175219
430,right_shank_angle_ang_vel_stand2sit,0.03,0.000619269
431,right_shank_angle_ang_acc_stand2sit,0.03,0.000596359
432,right_shank_angle_max_ang_vel_stand2sit,0.18,-0.001628858
433,right_shank_angle_max_ang_acc_stand2sit,0,0
434,right_shank_angle_min_ang_vel_stand2sit,0.02,8.42E-05
435,right_shank_angle_min_ang_acc_stand2sit,0.02,8.62E-06
436,alignment_range_mean_stand2sit,0.04,-0.000110055
437,alignment_sd_stand2sit,0.05,-0.002722613
438,alignment_max_stand2sit,0.01,-0.000100669
439,alignment_min_stand2sit,0.01,0.000142741
440,alignment_max_mean_stand2sit,0.03,-5.59E-05
441,alignment_min_mean_stand2sit,0.06,0.001296829
442,alignment_max_sd_stand2sit,0.09,-0.002877146
443,alignment_min_sd_stand2sit,0.04,-0.003226119
444,alignment_ang_vel_stand2sit,0.05,-0.000447882
445,alignment_ang_acc_stand2sit,0.05,-0.000445748
446,alignment_max_ang_vel_stand2sit,0.52,-0.003942537
447,alignment_max_ang_acc_stand2sit,0,0
448,alignment_min_ang_vel_stand2sit,0,0
449,alignment_min_ang_acc_stand2sit,0.01,1.22E-06
450,pelvic_avg_speed,0.03,-0.070931347
451,pelvic_min_speed,0.01,0.13600159
452,pelvic_max_speed,0,0
453,pelvic_avg_acc,0,0
454,pelvic_min_acc,0.09,-0.066101848
455,pelvic_max_acc,0,0
456,pelvic_avg_y_speed,0.3,2.361840711
457,pelvic_min_y_speed,0,0
458,pelvic_max_y_speed,0,0
459,pelvic_avg_y_acc,0.58,-0.447861246
460,pelvic_min_y_acc,0,0
461,pelvic_max_y_acc,0,0
462,neck_avg_speed,0.02,-0.013412687
463,neck_min_speed,0.02,-0.097950815
464,neck_max_speed,0.12,-0.068062156
465,neck_avg_acc,0.01,0.001151912
466,neck_min_acc,0,0
467,neck_max_acc,0,0
468,neck_avg_y_speed,0.16,-0.047756236
469,neck_min_y_speed,0.15,0.043325369
470,neck_max_y_speed,0.08,-0.021247956
471,neck_avg_y_acc,0.35,0.243294067
472,neck_min_y_acc,0,0
473,neck_max_y_acc,0,0
474,pelvic_avg_speed_sit2stand,0.02,-0.01936959
475,pelvic_min_speed_sit2stand,0.14,0.729909522
476,pelvic_max_speed_sit2stand,0,0
477,pelvic_avg_acc_sit2stand,0.01,-0.000289238
478,pelvic_min_acc_sit2stand,0.05,-0.037423007
479,pelvic_max_acc_sit2stand,0.01,7.79E-05
480,pelvic_avg_y_speed_sit2stand,0.3,2.350247928
481,pelvic_min_y_speed_sit2stand,0,0
482,pelvic_max_y_speed_sit2stand,0,0
483,pelvic_avg_y_acc_sit2stand,0.58,-0.447760822
484,pelvic_min_y_acc_sit2stand,0,0
485,pelvic_max_y_acc_sit2stand,0,0
486,neck_avg_speed_sit2stand,0.03,0.01357463
487,neck_min_speed_sit2stand,0.04,-0.26015356
488,neck_max_speed_sit2stand,0.03,-0.017619074
489,neck_avg_acc_sit2stand,0.16,0.04487278
490,neck_min_acc_sit2stand,0.27,0.122725746
491,neck_max_acc_sit2stand,0,0
492,neck_avg_y_speed_sit2stand,0.16,-0.038075045
493,neck_min_y_speed_sit2stand,0.15,0.044250683
494,neck_max_y_speed_sit2stand,0.08,-0.021470738
495,neck_avg_y_acc_sit2stand,0.35,0.237648527
496,neck_min_y_acc_sit2stand,0,0
497,neck_max_y_acc_sit2stand,0,0
498,pelvic_avg_speed_stand2sit,0,0
499,pelvic_min_speed_stand2sit,0.26,-2.351217379
500,pelvic_max_speed_stand2sit,0,0
501,pelvic_avg_acc_stand2sit,0.01,-0.000513837
502,pelvic_min_acc_stand2sit,0.11,-0.065377753
503,pelvic_max_acc_stand2sit,0,0
504,pelvic_avg_y_speed_stand2sit,0.3,2.242879616
505,pelvic_min_y_speed_stand2sit,0,0
506,pelvic_max_y_speed_stand2sit,0,0
507,pelvic_avg_y_acc_stand2sit,0.58,-0.435403223
508,pelvic_min_y_acc_stand2sit,0,0
509,pelvic_max_y_acc_stand2sit,0,0
510,neck_avg_speed_stand2sit,0.04,0.078640979
511,neck_min_speed_stand2sit,0.08,0.153510164
512,neck_max_speed_stand2sit,0.12,-0.162409619
513,neck_avg_acc_stand2sit,0.02,-0.005247488
514,neck_min_acc_stand2sit,0.29,-0.304636084
515,neck_max_acc_stand2sit,0,0
516,neck_avg_y_speed_stand2sit,0.16,-0.03190333
517,neck_min_y_speed_stand2sit,0.15,0.043000611
518,neck_max_y_speed_stand2sit,0.08,-0.021069407
519,neck_avg_y_acc_stand2sit,0.35,0.233853194
520,neck_min_y_acc_stand2sit,0,0
521,neck_max_y_acc_stand2sit,0,0
522,ank_to_hip_dist_sit,0.17,-0.060340186
523,ank_to_hip_dist_stand,0.07,-0.009154046
524,knee_to_hip_dist_sit,0.11,-0.040408587
525,knee_to_hip_dist_stand,0.09,0.025419747
526,lknee_angle_first_sit,0.46,0.001376986
527,rknee_angle_first_sit,0.11,-0.000459991
528,lknee_angle_first_stand,0.16,-0.001868297
529,rknee_angle_first_stand,0.05,-1.38E-05
