,Standard.deviation,Proportion.of.Variance,Cumulative.Proportion
PC1,10.31569981,0.17677,0.17677
PC2,8.216366051,0.11214,0.28891
PC3,6.636664397,0.07316,0.36207
PC4,5.912529857,0.05807,0.42014
PC5,5.002282761,0.04157,0.46171
PC6,4.373762337,0.03178,0.49349
PC7,3.946738454,0.02587,0.51936
PC8,3.761998078,0.02351,0.54287
PC9,3.608268842,0.02163,0.5645
PC10,3.326326795,0.01838,0.58288
PC11,3.200963979,0.01702,0.5999
PC12,3.059091876,0.01554,0.61544
PC13,3.008338879,0.01503,0.63048
PC14,2.92763239,0.01424,0.64471
PC15,2.820794286,0.01322,0.65793
PC16,2.793004811,0.01296,0.67089
PC17,2.749801283,0.01256,0.68345
PC18,2.624258861,0.01144,0.69489
PC19,2.449215513,0.00996,0.70485
PC20,2.361773354,0.00927,0.71412
PC21,2.304890825,0.00882,0.72294
PC22,2.170548137,0.00783,0.73077
PC23,2.154686114,0.00771,0.73848
PC24,2.126663884,0.00751,0.74599
PC25,2.081847475,0.0072,0.75319
PC26,2.005849769,0.00668,0.75988
PC27,1.935878692,0.00623,0.7661
PC28,1.913962801,0.00609,0.77219
PC29,1.881427716,0.00588,0.77807
PC30,1.842958582,0.00564,0.78371
PC31,1.806517894,0.00542,0.78913
PC32,1.779492002,0.00526,0.79439
PC33,1.752623662,0.0051,0.79949
PC34,1.700870076,0.00481,0.8043
PC35,1.692501107,0.00476,0.80906
PC36,1.662828884,0.00459,0.81365
PC37,1.630165565,0.00441,0.81807
PC38,1.601455917,0.00426,0.82233
PC39,1.600883944,0.00426,0.82658
PC40,1.580297247,0.00415,0.83073
PC41,1.544084175,0.00396,0.83469
PC42,1.528770846,0.00388,0.83857
PC43,1.479552411,0.00364,0.84221
PC44,1.461684429,0.00355,0.84576
PC45,1.453246835,0.00351,0.84927
PC46,1.437558583,0.00343,0.8527
PC47,1.413508254,0.00332,0.85602
PC48,1.390603203,0.00321,0.85923
PC49,1.369700739,0.00312,0.86235
PC50,1.349959185,0.00303,0.86537
PC51,1.340598197,0.00299,0.86836
PC52,1.310381514,0.00285,0.87121
PC53,1.302109638,0.00282,0.87403
PC54,1.278524456,0.00272,0.87674
PC55,1.264022645,0.00265,0.8794
PC56,1.240614549,0.00256,0.88196
PC57,1.226560299,0.0025,0.88445
PC58,1.2169135,0.00246,0.88691
PC59,1.193536716,0.00237,0.88928
PC60,1.180224005,0.00231,0.89159
PC61,1.161094675,0.00224,0.89383
PC62,1.143404508,0.00217,0.89601
PC63,1.142078913,0.00217,0.89817
PC64,1.123537326,0.0021,0.90027
PC65,1.114647006,0.00206,0.90233
PC66,1.097553664,0.002,0.90433
PC67,1.086590246,0.00196,0.9063
PC68,1.073052677,0.00191,0.90821
PC69,1.06806934,0.00189,0.9101
PC70,1.05138946,0.00184,0.91194
PC71,1.043468186,0.00181,0.91375
PC72,1.038311822,0.00179,0.91554
PC73,1.033147532,0.00177,0.91731
PC74,1.016477728,0.00172,0.91903
PC75,1.000283863,0.00166,0.92069
PC76,0.996446635,0.00165,0.92234
PC77,0.990503113,0.00163,0.92397
PC78,0.974960767,0.00158,0.92555
PC79,0.960934824,0.00153,0.92708
PC80,0.948067667,0.00149,0.92858
PC81,0.943259301,0.00148,0.93005
PC82,0.931403229,0.00144,0.93149
PC83,0.927536683,0.00143,0.93292
PC84,0.904298795,0.00136,0.93428
PC85,0.893421872,0.00133,0.93561
PC86,0.892765342,0.00132,0.93693
PC87,0.884361711,0.0013,0.93823
PC88,0.880440479,0.00129,0.93952
PC89,0.874142982,0.00127,0.94079
PC90,0.863910677,0.00124,0.94203
PC91,0.851633246,0.0012,0.94323
PC92,0.8431345,0.00118,0.94441
PC93,0.832319882,0.00115,0.94556
PC94,0.822292876,0.00112,0.94669
PC95,0.815406387,0.0011,0.94779
PC96,0.806808925,0.00108,0.94887
PC97,0.804701447,0.00108,0.94995
PC98,0.787266239,0.00103,0.95098
PC99,0.780978733,0.00101,0.95199
PC100,0.779009194,0.00101,0.953
PC101,0.764803634,0.00097,0.95397
PC102,0.762020935,0.00096,0.95494
PC103,0.749964742,0.00093,0.95587
PC104,0.74612374,0.00092,0.95679
PC105,0.745750307,0.00092,0.95772
PC106,0.737679651,0.0009,0.95862
PC107,0.729805143,0.00088,0.95951
PC108,0.714463898,0.00085,0.96035
PC109,0.704072372,0.00082,0.96118
PC110,0.701997653,0.00082,0.962
PC111,0.695108359,0.0008,0.9628
PC112,0.691897318,0.0008,0.96359
PC113,0.681815295,0.00077,0.96437
PC114,0.679177737,0.00077,0.96513
PC115,0.673513654,0.00075,0.96589
PC116,0.671359232,0.00075,0.96664
PC117,0.658954184,0.00072,0.96736
PC118,0.650323996,0.0007,0.96806
PC119,0.643538749,0.00069,0.96875
PC120,0.640057777,0.00068,0.96943
PC121,0.637435151,0.00067,0.9701
PC122,0.62486539,0.00065,0.97075
PC123,0.622318096,0.00064,0.97139
PC124,0.617813418,0.00063,0.97203
PC125,0.610242738,0.00062,0.97265
PC126,0.604631543,0.00061,0.97325
PC127,0.596260758,0.00059,0.97385
PC128,0.586578832,0.00057,0.97442
PC129,0.583332271,0.00057,0.97498
PC130,0.578589877,0.00056,0.97554
PC131,0.575438533,0.00055,0.97609
PC132,0.565206984,0.00053,0.97662
PC133,0.559804194,0.00052,0.97714
PC134,0.555788311,0.00051,0.97765
PC135,0.548318359,0.0005,0.97815
PC136,0.540863554,0.00049,0.97864
PC137,0.539840889,0.00048,0.97912
PC138,0.529406862,0.00047,0.97959
PC139,0.52731035,0.00046,0.98005
PC140,0.524176702,0.00046,0.98051
PC141,0.516195476,0.00044,0.98095
PC142,0.509242107,0.00043,0.98138
PC143,0.508213845,0.00043,0.98181
PC144,0.496491474,0.00041,0.98222
PC145,0.493867775,0.00041,0.98262
PC146,0.487375327,0.00039,0.98302
PC147,0.476210546,0.00038,0.98339
PC148,0.472060967,0.00037,0.98376
PC149,0.462659382,0.00036,0.98412
PC150,0.45921742,0.00035,0.98447
PC151,0.457015496,0.00035,0.98482
PC152,0.455346371,0.00034,0.98516
PC153,0.450658797,0.00034,0.9855
PC154,0.443995355,0.00033,0.98583
PC155,0.438263631,0.00032,0.98615
PC156,0.437137392,0.00032,0.98646
PC157,0.431213322,0.00031,0.98677
PC158,0.423624395,0.0003,0.98707
PC159,0.413995442,0.00028,0.98735
PC160,0.410757952,0.00028,0.98763
PC161,0.408850107,0.00028,0.98791
PC162,0.404705311,0.00027,0.98818
PC163,0.40133413,0.00027,0.98845
PC164,0.397528572,0.00026,0.98871
PC165,0.393594741,0.00026,0.98897
PC166,0.390003028,0.00025,0.98922
PC167,0.382553591,0.00024,0.98947
PC168,0.380454313,0.00024,0.98971
PC169,0.375034247,0.00023,0.98994
PC170,0.36779149,0.00022,0.99017
PC171,0.367513472,0.00022,0.99039
PC172,0.359521454,0.00021,0.99061
PC173,0.357294028,0.00021,0.99082
PC174,0.353357465,0.00021,0.99103
PC175,0.350492744,0.0002,0.99123
PC176,0.347910135,0.0002,0.99143
PC177,0.341381246,0.00019,0.99162
PC178,0.338653563,0.00019,0.99181
PC179,0.338377558,0.00019,0.992
PC180,0.335415925,0.00019,0.99219
PC181,0.331505048,0.00018,0.99237
PC182,0.326082322,0.00018,0.99255
PC183,0.322507957,0.00017,0.99272
PC184,0.321658791,0.00017,0.9929
PC185,0.314122626,0.00016,0.99306
PC186,0.310367758,0.00016,0.99322
PC187,0.307218608,0.00016,0.99338
PC188,0.303143779,0.00015,0.99353
PC189,0.297704172,0.00015,0.99368
PC190,0.293093099,0.00014,0.99382
PC191,0.291707281,0.00014,0.99396
PC192,0.289598671,0.00014,0.9941
PC193,0.288352867,0.00014,0.99424
PC194,0.2832912,0.00013,0.99437
PC195,0.28153369,0.00013,0.9945
PC196,0.280446775,0.00013,0.99463
PC197,0.275401248,0.00013,0.99476
PC198,0.273350058,0.00012,0.99488
PC199,0.262520869,0.00011,0.995
PC200,0.261753548,0.00011,0.99511
PC201,0.259875204,0.00011,0.99522
PC202,0.257621971,0.00011,0.99533
PC203,0.256898066,0.00011,0.99544
PC204,0.247597737,0.0001,0.99555
PC205,0.247279828,0.0001,0.99565
PC206,0.246341011,0.0001,0.99575
PC207,0.241422145,0.0001,0.99584
PC208,0.23960225,0.0001,0.99594
PC209,0.23638005,0.00009,0.99603
PC210,0.235018899,0.00009,0.99612
PC211,0.234376603,0.00009,0.99622
PC212,0.230702709,0.00009,0.9963
PC213,0.227640357,0.00009,0.99639
PC214,0.223750027,0.00008,0.99647
PC215,0.221526421,0.00008,0.99655
PC216,0.219286884,0.00008,0.99663
PC217,0.217848242,0.00008,0.99671
PC218,0.2163736,0.00008,0.99679
PC219,0.214288722,0.00008,0.99687
PC220,0.211687219,0.00007,0.99694
PC221,0.210547097,0.00007,0.99702
PC222,0.205851356,0.00007,0.99709
PC223,0.204602983,0.00007,0.99716
PC224,0.201849952,0.00007,0.99722
PC225,0.200748863,0.00007,0.99729
PC226,0.196884519,0.00006,0.99735
PC227,0.19621306,0.00006,0.99742
PC228,0.193564361,0.00006,0.99748
PC229,0.189856361,0.00006,0.99754
PC230,0.187780906,0.00006,0.9976
PC231,0.18458897,0.00006,0.99766
PC232,0.183656661,0.00006,0.99771
PC233,0.182409342,0.00006,0.99777
PC234,0.180841243,0.00005,0.99782
PC235,0.17950957,0.00005,0.99787
PC236,0.177152209,0.00005,0.99793
PC237,0.174626508,0.00005,0.99798
PC238,0.172283993,0.00005,0.99803
PC239,0.168897078,0.00005,0.99807
PC240,0.166583865,0.00005,0.99812
PC241,0.165569521,0.00005,0.99817
PC242,0.162777144,0.00004,0.99821
PC243,0.161571376,0.00004,0.99825
PC244,0.161211153,0.00004,0.9983
PC245,0.15852769,0.00004,0.99834
PC246,0.157637328,0.00004,0.99838
PC247,0.15311298,0.00004,0.99842
PC248,0.151770392,0.00004,0.99846
PC249,0.150242894,0.00004,0.99849
PC250,0.148656368,0.00004,0.99853
PC251,0.147695053,0.00004,0.99857
PC252,0.145929643,0.00004,0.9986
PC253,0.145448661,0.00004,0.99864
PC254,0.144026296,0.00003,0.99867
PC255,0.141868316,0.00003,0.99871
PC256,0.139667872,0.00003,0.99874
PC257,0.139213551,0.00003,0.99877
PC258,0.135819252,0.00003,0.9988
PC259,0.133034093,0.00003,0.99883
PC260,0.132465828,0.00003,0.99886
PC261,0.131706886,0.00003,0.99889
PC262,0.131227746,0.00003,0.99892
PC263,0.128737259,0.00003,0.99894
PC264,0.127901485,0.00003,0.99897
PC265,0.126783887,0.00003,0.999
PC266,0.124786027,0.00003,0.99902
PC267,0.123780359,0.00003,0.99905
PC268,0.121552262,0.00002,0.99907
PC269,0.12035305,0.00002,0.9991
PC270,0.119615965,0.00002,0.99912
PC271,0.118095662,0.00002,0.99915
PC272,0.117580196,0.00002,0.99917
PC273,0.11614757,0.00002,0.99919
PC274,0.115278502,0.00002,0.99921
PC275,0.11424473,0.00002,0.99923
PC276,0.112815027,0.00002,0.99926
PC277,0.110450945,0.00002,0.99928
PC278,0.108949272,0.00002,0.9993
PC279,0.107328923,0.00002,0.99931
PC280,0.106880862,0.00002,0.99933
PC281,0.104736288,0.00002,0.99935
PC282,0.103696837,0.00002,0.99937
PC283,0.10178994,0.00002,0.99939
PC284,0.100447543,0.00002,0.9994
PC285,0.098917205,0.00002,0.99942
PC286,0.098287147,0.00002,0.99944
PC287,0.096494407,0.00002,0.99945
PC288,0.095872194,0.00002,0.99947
PC289,0.095075455,0.00002,0.99948
PC290,0.093587525,0.00001,0.9995
PC291,0.092454577,0.00001,0.99951
PC292,0.09039261,0.00001,0.99952
PC293,0.090213053,0.00001,0.99954
PC294,0.089736833,0.00001,0.99955
PC295,0.089349364,0.00001,0.99956
PC296,0.088518808,0.00001,0.99958
PC297,0.087497572,0.00001,0.99959
PC298,0.084889597,0.00001,0.9996
PC299,0.083102908,0.00001,0.99961
PC300,0.081564705,0.00001,0.99962
PC301,0.080779137,0.00001,0.99964
PC302,0.08062816,0.00001,0.99965
PC303,0.078591783,0.00001,0.99966
PC304,0.077991769,0.00001,0.99967
PC305,0.076673216,0.00001,0.99968
PC306,0.075939488,0.00001,0.99969
PC307,0.07465602,0.00001,0.99969
PC308,0.07411393,0.00001,0.9997
PC309,0.073420372,0.00001,0.99971
PC310,0.072000193,0.00001,0.99972
PC311,0.071610116,0.00001,0.99973
PC312,0.070654263,0.00001,0.99974
PC313,0.070046216,0.00001,0.99975
PC314,0.069283301,0.00001,0.99975
PC315,0.068676353,0.00001,0.99976
PC316,0.06818065,0.00001,0.99977
PC317,0.066273208,0.00001,0.99978
PC318,0.065507288,0.00001,0.99978
PC319,0.064260222,0.00001,0.99979
PC320,0.063380856,0.00001,0.9998
PC321,0.062689938,0.00001,0.9998
PC322,0.062069076,0.00001,0.99981
PC323,0.061160543,0.00001,0.99982
PC324,0.059784391,0.00001,0.99982
PC325,0.059444047,0.00001,0.99983
PC326,0.058601566,0.00001,0.99983
PC327,0.057692279,0.00001,0.99984
PC328,0.056828092,0.00001,0.99985
PC329,0.055702701,0.00001,0.99985
PC330,0.054911029,0.00001,0.99986
PC331,0.054808886,0,0.99986
PC332,0.053493234,0,0.99987
PC333,0.053341474,0,0.99987
PC334,0.05278714,0,0.99987
PC335,0.052102875,0,0.99988
PC336,0.050937693,0,0.99988
PC337,0.050324151,0,0.99989
PC338,0.049898783,0,0.99989
PC339,0.048912571,0,0.9999
PC340,0.048376823,0,0.9999
PC341,0.047275156,0,0.9999
PC342,0.046983555,0,0.99991
PC343,0.046005954,0,0.99991
PC344,0.045652066,0,0.99991
PC345,0.045336733,0,0.99992
PC346,0.043702904,0,0.99992
PC347,0.043160896,0,0.99992
PC348,0.042944032,0,0.99993
PC349,0.042782599,0,0.99993
PC350,0.04157889,0,0.99993
PC351,0.041142496,0,0.99994
PC352,0.040570393,0,0.99994
PC353,0.03984502,0,0.99994
PC354,0.039302636,0,0.99994
PC355,0.038284031,0,0.99995
PC356,0.037632777,0,0.99995
PC357,0.036966232,0,0.99995
PC358,0.036115065,0,0.99995
PC359,0.035723865,0,0.99995
PC360,0.035381115,0,0.99996
PC361,0.034724177,0,0.99996
PC362,0.034390282,0,0.99996
PC363,0.033773567,0,0.99996
PC364,0.032900926,0,0.99996
PC365,0.032457718,0,0.99997
PC366,0.031981114,0,0.99997
PC367,0.031401474,0,0.99997
PC368,0.03105211,0,0.99997
PC369,0.030954966,0,0.99997
PC370,0.030123391,0,0.99997
PC371,0.029508638,0,0.99998
PC372,0.029027489,0,0.99998
PC373,0.028754089,0,0.99998
PC374,0.027656451,0,0.99998
PC375,0.026936402,0,0.99998
PC376,0.02663818,0,0.99998
PC377,0.026287469,0,0.99998
PC378,0.025553706,0,0.99998
PC379,0.025243845,0,0.99999
PC380,0.024268377,0,0.99999
PC381,0.023809509,0,0.99999
PC382,0.023286891,0,0.99999
PC383,0.022598122,0,0.99999
PC384,0.022196483,0,0.99999
PC385,0.021568493,0,0.99999
PC386,0.021235222,0,0.99999
PC387,0.021081254,0,0.99999
PC388,0.020423478,0,0.99999
PC389,0.02011837,0,0.99999
PC390,0.019706241,0,0.99999
PC391,0.018842138,0,1
PC392,0.018167392,0,1
PC393,0.017472429,0,1
PC394,0.016900326,0,1
PC395,0.016411563,0,1
PC396,0.016263548,0,1
PC397,0.015820738,0,1
PC398,0.015655055,0,1
PC399,0.014936475,0,1
PC400,0.013911105,0,1
PC401,0.013805414,0,1
PC402,0.012417922,0,1
PC403,0.012073425,0,1
PC404,0.011579095,0,1
PC405,4.58109097757645e-15,0,1
